fID,fFacilitesOptionsID,fOptionsEn,fOptionsAr
1,1,Not Available,غير متاح
2,1,"Yes, Free",نعم ، مجانًا
3,1,"Yes, Paid",نعم ، مدفوع
4,2,Not Available,غير متاح
5,2,"Yes, Free",نعم ، مجانًا
6,2,"Yes, Paid",نعم ، مدفوع
7,3,Not Available,غير متاح
8,3,"Yes, included in the price",نعم ، مدرج في السعر
9,3,"Yes, it's Optional",نعم ، إنه اختياري
10,4,English,الإنجليزية
11,4,Arabic,عربى
12,4,Kurdish,كردي
13,4,French,فرنسي
14,4,Russian,الروسية
15,4,Spanish,الأسبانية
16,4,Persian,اللغة الفارسية
17,4,Turkish,اللغة التركية
18,5,No,لا
19,5,Yes,نعم
20,6,No,لا
21,6,Yes,نعم
22,7,No,لا
23,7,Yes,نعم
24,8,No,لا
25,8,Yes,نعم
26,9,No,لا
27,9,Yes,نعم
28,10,No,لا
29,10,Yes,نعم
30,11,No,لا
31,11,Yes,نعم
32,12,No,لا
33,12,Yes,نعم
34,13,No,لا
35,13,Yes,نعم
36,14,No,لا
37,14,Yes,نعم
38,15,No,لا
39,15,Yes,نعم
40,16,No,لا
41,16,Yes,نعم
42,17,No,لا
43,17,Yes,نعم
44,18,No,لا
45,18,Yes,نعم
46,19,No,لا
47,19,Yes,نعم
48,20,No,لا
49,20,Yes,نعم
50,21,No,لا
51,21,Yes,نعم
52,22,No,لا
53,22,Yes,نعم
